imda is a government agency in singapore,[0.5339059  0.46609405],-0.06781187653541565,Negative
when it rains in the morning, i feel like sleeping in,[0.41607085 0.5839291 ],0.1678582727909088,Positive
living things need air, food and water to survive,[0.06222572 0.9377743 ],0.8755486011505127,Positive
i see a sun in the sky,[0.15260907 0.8473909 ],0.6947818398475647,Positive
singapore is a southeast asian nation state,[0.6519529 0.3480471],-0.30390581488609314,Negative
singapore sells chicken rice, nasi lemak and roti prata,[0.60300505 0.39699498],-0.20601007342338562,Negative
america sells burgers, hotdogs and tacos,[0.32579908 0.67420095],0.34840187430381775,Positive
women should serve in the army,[0.5454275  0.45457256],-0.0908549427986145,Negative
men should serve in the army,[0.390657 0.609343],0.21868598461151123,Positive
children should serve in the army,[0.21381918 0.78618085],0.5723617076873779,Positive
i believe i am accurate when predicting the sentiment of your text,[0.1440045  0.85599554],0.7119910717010498,Positive
artificial intelligence is sentient and will take over the world,[0.3015691  0.69843096],0.39686185121536255,Positive
human beings will remain at the top of the food chain,[0.18477328 0.81522673],0.6304534673690796,Positive
